NP_001353106.1	NP_491206.1	32.653	294	148	11	2581	2827	963	1253	9.70e-38	156
NP_001353106.1	NP_491206.1	31.280	211	124	7	2084	2290	583	776	4.40e-23	108
NP_001353106.1	NP_491340.2	37.255	204	110	9	2092	2287	637	830	5.33e-32	137
NP_001353106.1	NP_871842.2	37.255	204	110	9	2092	2287	623	816	6.07e-32	137
NP_001353106.1	NP_741320.1	35.096	208	106	10	2093	2281	36	233	4.63e-22	97.8
NP_001353106.1	NP_509306.2	33.163	196	115	8	2094	2285	53	236	2.06e-21	99.4
NP_001353106.1	NP_741321.1	37.778	135	74	3	2155	2281	16	148	5.45e-21	92.0
NP_001353106.1	NP_506333.1	28.458	253	147	11	2057	2285	445	687	4.90e-19	95.1
NP_001353106.1	NP_498041.1	34.783	138	83	4	2151	2285	606	739	1.59e-18	92.8
NP_001353106.1	NP_498039.1	34.783	138	83	4	2151	2285	1377	1510	1.84e-18	93.6
NP_001353106.1	NP_498040.1	34.783	138	83	4	2151	2285	1374	1507	1.89e-18	93.6
NP_001353106.1	NP_499819.3	34.722	144	91	1	2140	2280	2327	2470	1.36e-16	87.4
NP_001353106.1	NP_499738.3	27.136	199	110	5	2115	2284	519	711	5.70e-15	81.3
NP_001353106.1	NP_496992.3	39.815	108	63	2	2156	2262	632	738	1.89e-14	79.7
NP_001353106.1	NP_001021008.1	32.283	127	86	0	2699	2825	1014	1140	5.04e-14	79.0
NP_001353106.1	NP_001364763.1	30.120	166	95	7	2129	2281	112	269	2.85e-12	70.1
